ambulance,救急車
anchor,いかり
apple,りんご
baby,あかちゃん
ball,玉
balloon,風船
banana,バナナ
basket,籠
bat,コウモリ
beard,髭
bed,ベッド
bell,ベル
belt,ベルト
bench,ベンチ
binoculars,双眼鏡
bone,骨
book,本
boot,ブーツ
bottle,瓶
bowl,鉢
bread,パン
bride,花嫁
bridge,橋
broom,ほうき
bus,バス
butterfly,チョウチョ
cake,ケーキ
calendar,カレンダー
camel,ラクダ
camera,カメラ
can,缶詰め
candle,ろうそく
cane,杖
cannon,大砲
carrot,にんじん
cat,ネコ
celery,セロリ
chair,椅子
cheerleaders,チアリーダー
chimney,煙突
church,教会
clock,時計
closet,押入れ
clown,ピエロ
comb,櫛
corn,とうもろこし
cow,牛
cowboy,カウボーイ
cross,十字架
crown,冠
crutches,松葉杖
desk,机
dice,サイコロ
dinosaur,恐竜
dog,イヌ
door,ドア
dragon,竜
drum,タイコ
duck,鴨
ear,耳
elephant,象
Eskimo,エスキモー
eye,目
fan,扇風機
fireman,消防士
fireplace,暖炉
fish,魚
flashlight,懐中電灯
flower,花
foot,足
football,ラグビーボール
fork,フォーク
frog,蛙
garage,駐車場
ghost,幽霊
glass,コップ
glove,手袋
goat,やぎ
grapes,ぶどう
hair,髪
hammer,ハンマー
hand,手
harp,ハープ
hat,帽子
heart,ハートマーク
helicopter,ヘリコプター
horse,馬
hose,ホース
house,家
iron,鉄
key,鑰
king,王様
kitchen,台所
kite,凧
knife,ナイフ
lamp,灯り
leaf,葉っぱ
letter,手紙
lion,獅子
man,おとこ
map,地図
microscope,顕微鏡
monkey,猿
mountain,山
mustache,髭
nail,釘
necklace,首飾り
nose,鼻
nurse,看護婦
octopus,タコ
owl,フクロウ
pear,梨
pen,ペン
pencil,えんぴつ
piano,ピアノ
pie,パイ
pig,ブタ
pillow,枕
pineapple,パイナップル
pipe,パイプ
pirate,海賊
plant,植え
pumpkin,かぼちゃ
pyramid,ピラミッド
queen,女王
rake,熊手
ring,輪
rope,縄
ruler,モノサシ
saddle,鞍
sailor,水夫
sandwich,サンドウィッチ
saw,ノコギリ
scale,ハカリ
scarf,マフラー
scissors,鋏
seal,オットセイ
shoe,靴
skis,スキー
skull,髑髏
slippers,スリッパ
snail,かたつむり
snake,へび
sock,靴下
spider,蜘蛛
spoon,スプーン
squirrel,リス
star,星
stethoscope,聴診器
strawberries,イチゴ
suit,背広
sun,太陽
table,テーブル
tent,テント
thermometer,温度計
toilet,便所
top,コマ
towel,タオル
tractor,トラクター
train,列車
tree,木
turkey,七面鳥
typewriter,タイプライター
van,バン
vase,壺
vest,チョッキ
volcano,火山
wagon,ワゴン
waterfall,滝
well,井戸
whistle,笛
wig,カツラ
window,窓
zebra,シマウマ
zipper,ファスナー
